date,open,high,low,close,volume,Dividends,Stock Splits
2013/4/25,2841.97998,2860.689941,2841.02002,2848.659912,2012230000,0,0
2013/4/26,2842.209961,2848.530029,2828.879883,2840.550049,1721970000,0,0
2013/4/29,2849.540039,2877.080078,2849.040039,2866.949951,1594110000,0,0
2013/4/30,2869.129883,2887.870117,2859.939941,2887.439941,1984270000,0,0
2013/5/1,2885.350098,2892.26001,2868.76001,2873.350098,1884600000,0,0
2013/5/2,2877.560059,2916.300049,2877.26001,2911.139893,1757480000,0,0
2013/5/3,2938.73999,2952.219971,2937.23999,2944.590088,1745570000,0,0
2013/5/6,2948.899902,2959.629883,2947.469971,2955.360107,1500410000,0,0
2013/5/7,2960.080078,2961.76001,2942.25,2952.879883,1709800000,0,0
2013/5/8,2952.310059,2969.659912,2946.790039,2968.23999,1756400000,0,0
2013/5/9,2960.550049,2980.360107,2955.699951,2961.120117,1826220000,0,0
2013/5/10,2967.070068,2981.02002,2962.689941,2981.02002,1689730000,0,0
2013/5/13,2972.959961,2989.699951,2971.72998,2982.090088,1615510000,0,0
2013/5/14,2981.889893,3005.02002,2981.889893,2996.050049,1820520000,0,0
2013/5/15,2990.389893,3004.52002,2982.77002,3002.620117,1843910000,0,0
2013/5/16,3005.050049,3019.040039,2997.469971,2999.340088,1945760000,0,0
2013/5/17,3017.790039,3028.959961,3005.25,3028.959961,1828610000,0,0
2013/5/20,3019.280029,3032.860107,3011.949951,3020.969971,1745260000,0,0
2013/5/21,3019.899902,3036.709961,3011.51001,3026.449951,1776780000,0,0
2013/5/22,3027.449951,3053.51001,2984.840088,2999.129883,2179330000,0,0
2013/5/23,2967.929932,3002.550049,2966.649902,2991.449951,1820670000,0,0
2013/5/24,2971.360107,2991.26001,2965.300049,2991.02002,1449210000,0,0
2013/5/28,3024.379883,3037,3002.219971,3011.939941,1748070000,0,0
2013/5/29,2996.97998,3006.899902,2979.899902,2994.820068,1794650000,0,0
2013/5/30,2998.98999,3026.360107,2998.77002,3011.830078,1737320000,0,0
2013/5/31,3001.689941,3023.110107,2981.76001,2981.76001,1968270000,0,0
2013/6/3,2984.590088,2990.800049,2950.870117,2990.790039,2054100000,0,0
2013/6/4,2993.060059,3007.300049,2962.219971,2973.689941,1871640000,0,0
2013/6/5,2961.669922,2975.830078,2933.219971,2937.139893,1813890000,0,0
2013/6/6,2940.870117,2950.300049,2911.939941,2950.300049,1802700000,0,0
2013/6/7,2960.899902,2993.129883,2955.100098,2990.870117,1646810000,0,0
2013/6/10,2995.030029,3004.669922,2985.5,2990.48999,1556520000,0,0
2013/6/11,2959.439941,2987.850098,2952.070068,2959.840088,1560370000,0,0
2013/6/12,2977.679932,2978.76001,2921.879883,2926.139893,1630200000,0,0
2013/6/13,2924.889893,2968.97998,2914.199951,2962.899902,1584740000,0,0
2013/6/14,2958.870117,2966.129883,2939.679932,2943.860107,1458030000,0,0
2013/6/17,2967.330078,2988.590088,2956.919922,2971.26001,1581830000,0,0
2013/6/18,2974.919922,3001.889893,2974.610107,2996.090088,1675090000,0,0
2013/6/19,2998.090088,3000.219971,2959.5,2959.5,1649200000,0,0
2013/6/20,2927.629883,2938.100098,2882.449951,2890.330078,2041500000,0,0
2013/6/21,2887.070068,2898.399902,2853.689941,2877.939941,2921900000,0,0
2013/6/24,2852.649902,2869.919922,2825.179932,2848.199951,2030960000,0,0
2013/6/25,2874.659912,2880.929932,2851.98999,2866.5,1657280000,0,0
2013/6/26,2892.429932,2899.580078,2883.959961,2893.850098,1671280000,0,0
2013/6/27,2909.879883,2924.340088,2905.300049,2906.840088,1689800000,0,0
2013/6/28,2896.699951,2927.48999,2891.570068,2909.600098,3630410000,0,0
2013/7/1,2933.47998,2951,2924.26001,2927.350098,1586750000,0,0
2013/7/2,2924.790039,2945.929932,2913.47998,2929.629883,1685190000,0,0
2013/7/3,2918.949951,2953.850098,2916.27002,2941.409912,935980000,0,0
2013/7/5,2958.26001,2963.820068,2934.219971,2963.219971,1254400000,0,0
2013/7/8,2976.610107,2978.820068,2955.370117,2966.129883,1521720000,0,0
2013/7/9,2981.100098,2989.929932,2966.679932,2984.320068,1633520000,0,0
2013/7/10,2981.219971,3004.280029,2981.090088,3000.659912,1567340000,0,0
2013/7/11,3032.090088,3060.669922,3030.389893,3059.459961,1744210000,0,0
2013/7/12,3061.889893,3079.070068,3054.030029,3079.070068,1615820000,0,0
2013/7/15,3077.02002,3082.25,3068.030029,3079.850098,1449130000,0,0
2013/7/16,3083.570068,3085.199951,3069.169922,3077.469971,1590540000,0,0
2013/7/17,3084.939941,3090.889893,3075.959961,3085.280029,1564340000,0,0
2013/7/18,3081.340088,3091.209961,3071.889893,3077.820068,1719390000,0,0
2013/7/19,3043.060059,3049.75,3035.98999,3044.929932,1785460000,0,0
2013/7/22,3061.5,3061.550049,3044.76001,3055.22998,1507010000,0,0
2013/7/23,3059.149902,3059.370117,3029.070068,3031.399902,1620350000,0,0
2013/7/24,3060.47998,3060.629883,3034.620117,3041.159912,1856660000,0,0
2013/7/25,3054.169922,3063.76001,3040.25,3061.669922,2203970000,0,0
2013/7/26,3046.120117,3076.22998,3044.379883,3076.22998,1796060000,0,0
2013/7/29,3067.47998,3083.340088,3062.909912,3068.949951,1545720000,0,0
2013/7/30,3080.199951,3099.379883,3076.389893,3085.330078,1763580000,0,0
2013/7/31,3094.820068,3110.01001,3087.469971,3090.189941,1942380000,0,0
2013/8/1,3113.219971,3128.669922,3111.280029,3126.300049,1863290000,0,0
2013/8/2,3125.48999,3143.52002,3118.040039,3143.52002,1683270000,0,0
2013/8/5,3136.77002,3145.25,3133.52002,3143.189941,1471860000,0,0
2013/8/6,3136.149902,3141.050049,3111.5,3122.199951,1444200000,0,0
2013/8/7,3117.129883,3123.919922,3096.409912,3118.689941,1659780000,0,0
2013/8/8,3134.060059,3137.659912,3111.360107,3130.129883,1702950000,0,0
2013/8/9,3124.73999,3136.699951,3109.860107,3118.570068,1546570000,0,0
2013/8/12,3107.060059,3130.610107,3106.25,3125.929932,1422420000,0,0
2013/8/13,3130.080078,3149.23999,3106.27002,3141.060059,1644730000,0,0
2013/8/14,3141.969971,3144.429932,3125.409912,3129.449951,1489370000,0,0
2013/8/15,3089.340088,3092.27002,3068.070068,3076.22998,1742510000,0,0
2013/8/16,3076.830078,3090.689941,3070.429932,3073.909912,1520430000,0,0
2013/8/19,3074.379883,3101.02002,3069.469971,3069.76001,1351050000,0,0
2013/8/20,3077.149902,3096.419922,3073.050049,3082.169922,1308280000,0,0
2013/8/21,3073.23999,3098.620117,3061.419922,3071.469971,1438510000,0,0
2013/8/22,3085.610107,3103.639893,3085.419922,3101.820068,927400000,0,0
2013/8/23,3126.25,3127.050049,3112.870117,3124.27002,1499890000,0,0
2013/8/26,3127.01001,3147.870117,3118.52002,3122.669922,1404230000,0,0
2013/8/27,3086.169922,3102.27002,3053.26001,3059.580078,1640040000,0,0
2013/8/28,3060.959961,3085.679932,3060.540039,3072.169922,1370650000,0,0
2013/8/29,3065.870117,3109.070068,3065.870117,3093.360107,1344900000,0,0
2013/8/30,3095.169922,3095.439941,3063.070068,3073.810059,1328320000,0,0
2013/9/3,3097.649902,3112.419922,3077.129883,3091.76001,1628810000,0,0
2013/9/4,3100.280029,3128.800049,3092.959961,3124.540039,1855980000,0,0
2013/9/5,3127.070068,3138.060059,3125.379883,3129.939941,1550180000,0,0
2013/9/6,3140.97998,3148.98999,3098.02002,3133.379883,1647310000,0,0
2013/9/9,3146.02002,3174.870117,3146.02002,3169.929932,1664290000,0,0
2013/9/10,3186.530029,3189.23999,3173.110107,3185.070068,1842570000,0,0
2013/9/11,3163.77002,3180.370117,3159.310059,3179.860107,1722380000,0,0
2013/9/12,3179.600098,3186.300049,3170.139893,3175.570068,1653860000,0,0
2013/9/13,3180.449951,3182.110107,3161.649902,3178.280029,1460190000,0,0
2013/9/16,3203.189941,3204.590088,3163.129883,3168.689941,1542500000,0,0
2013/9/17,3177.780029,3195.149902,3176.580078,3190.830078,1338800000,0,0
2013/9/18,3198.449951,3235.719971,3190.01001,3231.310059,1828820000,0,0
2013/9/19,3240.929932,3245.120117,3231.679932,3237.610107,1775980000,0,0
2013/9/20,3244.429932,3248.52002,3224.72998,3224.72998,2711270000,0,0
2013/9/23,3242.320068,3243.429932,3205.5,3219.340088,1728620000,0,0
2013/9/24,3226.22998,3236.840088,3209.389893,3218.659912,1810950000,0,0
2013/9/25,3221.199951,3226.620117,3202.75,3208.550049,1821790000,0,0
2013/9/26,3222.97998,3240.98999,3221.169922,3234.040039,1817960000,0,0
